Data_set,CV,Penalty,Accuracy,F-score
wine.data,2,l1,0.9496212121212122,0.9497303084366444
wine.data,3,l1,0.9833333333333334,0.9833466177799033
wine.data,4,l1,0.9611111111111111,0.9614517581993219
wine.data,5,l1,0.9888803088803089,0.9883627827034731
wine.data,6,l1,0.9833333333333334,0.9827072084872596
wine.data,7,l1,0.9782091982091983,0.9780838258503008
wine.data,8,l1,0.9720849802371542,0.9725762026071624
wine.data,9,l1,0.9595562981527893,0.96118086706322
wine.data,10,l1,0.9888888888888889,0.9892773892773892
wine.data,2,l2,0.9719696969696969,0.9718215215341848
wine.data,3,l2,0.9551724137931035,0.9566265666896804
wine.data,4,l2,0.9555555555555555,0.9562054843304844
wine.data,5,l2,0.989039039039039,0.9891432891364165
wine.data,6,l2,0.9722222222222223,0.972363705253731
wine.data,7,l2,0.9945054945054945,0.9943191311612364
wine.data,8,l2,0.983201581027668,0.9837170225715117
wine.data,9,l2,0.9830409356725147,0.9827000160333493
wine.data,10,l2,0.988562091503268,0.9881377881377882
wine.data,2,elasticnet,0.9722222222222222,0.9715712765086384
wine.data,3,elasticnet,0.9664750957854406,0.9661436130236164
wine.data,4,elasticnet,0.9772609819121447,0.9777197721330493
wine.data,5,elasticnet,0.9774603174603176,0.977765961233992
wine.data,6,elasticnet,0.9777777777777779,0.977646246904559
wine.data,7,elasticnet,0.9724949124949125,0.9723668819754623
wine.data,8,elasticnet,0.9715909090909092,0.9723386295077472
wine.data,9,elasticnet,0.961292119186856,0.9616522366522366
wine.data,10,elasticnet,0.9888888888888889,0.9884796684796685
diabetes.data,2,l1,0.7161458333333334,0.591437507403894
diabetes.data,3,l1,0.7069780421085424,0.6696230816863357
diabetes.data,4,l1,0.76171875,0.7309181546906189
diabetes.data,5,l1,0.7538918597742127,0.7322239925964793
diabetes.data,6,l1,0.7605189544802539,0.7084235063470686
diabetes.data,7,l1,0.7304763836873928,0.6738544071156708
diabetes.data,8,l1,0.7423223005968529,0.7074898199061361
diabetes.data,9,l1,0.7512529042624803,0.6986924431226567
diabetes.data,10,l1,0.7526999316473001,0.7102163221954861
diabetes.data,2,l2,0.7083333333333333,0.6092340884573895
diabetes.data,3,l2,0.7760597072810965,0.7429289553326058
diabetes.data,4,l2,0.7239583333333334,0.6126846386144988
diabetes.data,5,l2,0.7682285035226212,0.7326778355763187
diabetes.data,6,l2,0.7654823375094102,0.7109020621948642
diabetes.data,7,l2,0.7355775887885979,0.6739025349040829
diabetes.data,8,l2,0.7413049376017362,0.7141899644246932
diabetes.data,9,l2,0.755175920497398,0.6882513879795352
diabetes.data,10,l2,0.7446684894053315,0.702063091098566
diabetes.data,2,elasticnet,0.7473958333333333,0.6789208972573573
diabetes.data,3,elasticnet,0.7655768983176928,0.72346499975394
diabetes.data,4,elasticnet,0.7552083333333334,0.7239917612411177
diabetes.data,5,elasticnet,0.7539767422120363,0.7132578574867947
diabetes.data,6,elasticnet,0.7538457674622068,0.7237275364684334
diabetes.data,7,elasticnet,0.7106516262479564,0.6805609475253988
diabetes.data,8,elasticnet,0.7280927835051546,0.6939118835904288
diabetes.data,9,elasticnet,0.7463780861181681,0.7143671656334871
diabetes.data,10,elasticnet,0.751367053998633,0.6882772786597653
seeds.data,2,l1,0.9095238095238095,0.9072903053211272
seeds.data,3,l1,0.909621578099839,0.9076383714621983
seeds.data,4,l1,0.9232026143790849,0.9225482451585392
seeds.data,5,l1,0.9047619047619048,0.8997223782822596
seeds.data,6,l1,0.9372895622895623,0.9368451181837908
seeds.data,7,l1,0.9333333333333333,0.9326798893285443
seeds.data,8,l1,0.9288194444444444,0.9285939010106967
seeds.data,9,l1,0.9437830687830687,0.9438268279771547
seeds.data,10,l1,0.9142857142857144,0.9116544566544567
seeds.data,2,l2,0.8999999999999999,0.900096289242416
seeds.data,3,l2,0.9148550724637681,0.912679126975735
seeds.data,4,l2,0.9133986928104575,0.9121933081186053
seeds.data,5,l2,0.9142857142857143,0.9119984906125062
seeds.data,6,l2,0.8897306397306397,0.8855651862898241
seeds.data,7,l2,0.9523809523809524,0.9523212793889486
seeds.data,8,l2,0.9282407407407408,0.9272675151932118
seeds.data,9,l2,0.9179894179894179,0.9136299786798582
seeds.data,10,l2,0.9238095238095239,0.9207081807081806
seeds.data,2,elasticnet,0.9047619047619048,0.9027135371055655
seeds.data,3,elasticnet,0.9142512077294686,0.9120598274199745
seeds.data,4,elasticnet,0.9150326797385621,0.9131679547570783
seeds.data,5,elasticnet,0.9428571428571428,0.9426261490744249
seeds.data,6,elasticnet,0.928872053872054,0.9280799697707911
seeds.data,7,elasticnet,0.9333333333333333,0.9337271750805586
seeds.data,8,elasticnet,0.9016203703703703,0.8944186407131454
seeds.data,9,elasticnet,0.9384920634920635,0.937535413025609
seeds.data,10,elasticnet,0.9190476190476191,0.9172344322344322
